product_id,product_name,category,subcategory
000049,Shoes A,Fashion,Women Textile
000040,Tire A,Automotive,Tires
000050,Backpack A,Fashion,Bags
000016,Dinner Table A,Home & Living,Furniture
000023,Shower Gel A,Cosmetics,Women Healthcare
000022,Lipstick A,Cosmetics,Makeup
000037,DVD A,Music,DVD
000027,Mountain Bike A,Sport & Outdoor,Outdoor
000026,Tent B,Sport & Outdoor,Outdoor
000042,Car Tape A,Automotive,Sound Systems
000041,Tire B,Automotive,Tires
000018,Rondo A,Home & Living,Kitchen
000028,Running Belt A,Sport & Outdoor,Fitness
000003,Monitor A,Electronics,Computer
000011,Display B,Electronics,Display
000042,Car Tape A,Automotive,Sound Systems
000038,CD A,Music,CD
000020,Parfume A,Cosmetics,Parfume
000003,Monitor A,Electronics,Computer
000048,Socks A,Fashion,Women Textile
000031,Sail B,Sport & Outdoor,Water Sports
000043,Denim A,Fashion,Men Textile
000001,Laptop A,Electronics,Computer
000005,Phone B,Electronics,Smart Phone
000006,TV A,Electronics,TV
000011,Display B,Electronics,Display
000027,Mountain Bike A,Sport & Outdoor,Outdoor
000013,Cinema Display A,Electronics,Display
000033,Book A,Book,Book
000048,Socks A,Fashion,Women Textile
000026,Tent B,Sport & Outdoor,Outdoor
000032,Boom A,Sport & Outdoor,Yacht & Boat
000046,Trousers A,Fashion,Women Textile
000037,DVD A,Music,DVD
000016,Dinner Table A,Home & Living,Furniture
000037,DVD A,Music,DVD
000034,Book B,Book,Book
000050,Backpack A,Fashion,Bags
000049,Shoes A,Fashion,Women Textile
000032,Boom A,Sport & Outdoor,Yacht & Boat
000044,Shirt A,Fashion,Men Textile
000033,Book A,Book,Book
000017,Bed A,Home & Living,Furniture
000049,Shoes A,Fashion,Women Textile
000045,T-Shirt A,Fashion,Men Textile
000028,Running Belt A,Sport & Outdoor,Fitness
000008,TV C,Electronics,TV
000045,T-Shirt A,Fashion,Men Textile
000050,Backpack A,Fashion,Bags
000013,Cinema Display A,Electronics,Display
000007,TV B,Electronics,TV
000045,T-Shirt A,Fashion,Men Textile
000048,Socks A,Fashion,Women Textile
000026,Tent B,Sport & Outdoor,Outdoor
000009,Speaker A,Electronics,Sound
000044,Shirt A,Fashion,Men Textile
000021,Parfume B,Cosmetics,Parfume
000044,Shirt A,Fashion,Men Textile
000036,Vinyl A,Music,Vinyl
000040,Tire A,Automotive,Tires
000028,Running Belt A,Sport & Outdoor,Fitness
000025,Tent A,Sport & Outdoor,Outdoor
000023,Shower Gel A,Cosmetics,Women Healthcare
000024,Aftershave Balsam A,Cosmetics,Men HealthCare
000021,Parfume B,Cosmetics,Parfume
000008,TV C,Electronics,TV
000007,TV B,Electronics,TV
000005,Phone B,Electronics,Smart Phone
000026,Tent B,Sport & Outdoor,Outdoor
000049,Shoes A,Fashion,Women Textile
000033,Book A,Book,Book
000023,Shower Gel A,Cosmetics,Women Healthcare
000024,Aftershave Balsam A,Cosmetics,Men HealthCare
000029,Board A,Sport & Outdoor,Water Sports
000042,Car Tape A,Automotive,Sound Systems
000042,Car Tape A,Automotive,Sound Systems
